Title,Author,Publication Title,DOI,Url
Algicidal properties of extracts from Cinnamomum camphora fresh leaves and their main compounds,"Chen, Silan; Zheng, Tiefeng; Ye, Chaolin; Huannixi, Wulan; Yakefu, Zumulati; Meng, Yiyu; Peng, Xin; Tian, Zhengfeng; Wang, Junhao; Ma, Yuandan; Yang, Youyou; Ma, Zhongqing; Zuo, Zhaojiang",Ecotoxicology and Environmental Safety,10.1016/j.ecoenv.2018.07.115,https://www.sciencedirect.com/science/article/pii/S0147651318307243
Selective control of Microcystis using an amino acid �?a laboratory assay,"Hehmann, Annett; Kaya, Kunimitsu; Watanabe, Makoto M.",Journal of Applied Phycology,10.1023/A:1019546829940,https://doi.org/10.1023/A:1019546829940
Growth and physiological responses of freshwater green alga Selenastrum capricornutum to allelochemical ethyl 2-methyl acetoacetate (EMA) under different initial algal densities,"Hong, Yu; Hu, Hong-Ying; Li, Feng-Min",Pesticide Biochemistry and Physiology,10.1016/j.pestbp.2007.11.009,https://www.sciencedirect.com/science/article/pii/S0048357507001587
Algicidal activity of phthalocyanines—Screening of 31 compounds,"Jančula, Daniel; Drábková, Michaela; Černý, Jiří; Karásková, Marie; Kořínková, Radka; Rakušan, Jan; Maršálek, Blahoslav",Environmental Toxicology,10.1002/tox.20324,https://onlinelibrary.wiley.com/doi/abs/10.1002/tox.20324
Antialgal furano-diterpenes from Potamogeton natans L.,"DellaGreca, Marina; Fiorentino, Antonio; Isidori, Marina; Monaco, Pietro; Temussi, Fabio; Zarrelli, Armando",Phytochemistry,10.1016/S0031-9422(01)00203-5,https://www.sciencedirect.com/science/article/pii/S0031942201002035
Effects of the novel allelochemical ethyl 2-methylacetoacetate from the reed (Phragmitis australis Trin) on the growth of several common species of green algae,"Men, Yu-Jie; Hu, Hong-Ying; Li, Feng-Min",Journal of Applied Phycology,10.1007/s10811-007-9165-8,https://doi.org/10.1007/s10811-007-9165-8
Myriophyllum spicatum-released allelopathic polyphenols inhibiting growth of blue-green algae Microcystis aeruginosa,"Nakai, Satoshi; Inoue, Yutaka; Hosomi, Masaaki; Murakami, Akihiko",Water Research,10.1016/S0043-1354(00)00039-7,https://www.sciencedirect.com/science/article/pii/S0043135400000397
Algicidal and cyanocidal effects of selected isoquinoline alkaloids,"Jančula, Daniel; Gregorová, Jana; Maršálek, Blahoslav",Aquaculture Research,10.1111/j.1365-2109.2009.02342.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2109.2009.02342.x
Algicidal Activity of Bacillamide Alkaloids and Their Analogues against Marine and Freshwater Harmful Algae,"Wang, Bo; Tao, Yuanyuan; Liu, Qisheng; Liu, Na; Jin, Zhong; Xu, Xiaohua",Marine Drugs,10.3390/md15080247,https://www.mdpi.com/1660-3397/15/8/247
"Design, Synthesis, and Mode of Action of Thioacetamide Derivatives as the Algicide Candidate Based on Active Substructure Splicing Strategy","Huang, Shi; Zuo, Lingzi; Zhang, Liexiong; Guo, Xiaoliang; Cheng, Cai; He, Yanlin; Cheng, Guonian; Yu, Jie; Liu, Yanyang; Chen, Ruiqing; Tang, Guangmei; Fan, Yuxuan; Feng, Lingling",Journal of Agricultural and Food Chemistry,10.1021/acs.jafc.4c00912,https://doi.org/10.1021/acs.jafc.4c00912
"Bacillamide, a novel algicide from the marine bacterium, <i>Bacillus</i> sp. SY-1, against the harmful dinoflagellate, <i>Cochlodinium polykrikoides</i>","Jeong, Seong-Yun; Ishida, Keishi; Ito, Yusai; Okada, Shigeru; Murakami, Masahiro",Tetrahedron Letters,10.1016/j.tetlet.2003.08.115,https://www.sciencedirect.com/science/article/pii/S0040403903020604
Isolation of an algicide from a marine bacterium and its effects against the toxic dinoflagellate Alexandrium catenella and other harmful algal bloom species,"Kim, Yun Sook; Son, Hong-Joo; Jeong, Seong-Yun",Journal of Microbiology,10.1007/s12275-015-5303-1,https://doi.org/10.1007/s12275-015-5303-1
"A Novel Algicide: Evidence of the Effect of a Fatty Acid Compound from the Marine Bacterium, Vibrio sp. BS02 on the Harmful Dinoflagellate, Alexandrium tamarense","Li, Dong; Zhang, Huajun; Fu, Lijun; An, Xinli; Zhang, Bangzhou; Li, Yi; Chen, Zhangran; Zheng, Wei; Yi, Lin; Zheng, Tianling",PLOS ONE,10.1371/journal.pone.0091201,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091201
Effects of the algicides CuSO4 and NaOCl on various physiological parameters in the harmful dinoflagellate Cochlodinium polykrikoides,"Ebenezer, Vinitha; Lim, Wol Ae; Ki, Jang-Seu",Journal of Applied Phycology,10.1007/s10811-014-0267-9,https://doi.org/10.1007/s10811-014-0267-9
"Fischerellin A, a novel photosystem-II-inhibiting allelochemical of the cyanobacterium <i>Fischerella muscicola</i> with antifungal and herbicidal activity","Hagmann, Leonhard; Jüttner, Friedrich",Tetrahedron Letters,10.1016/0040-4039(96)01445-1,https://www.sciencedirect.com/science/article/pii/0040403996014451
Potent Algicides Based on the Cyanobacterial Alkaloid Nostocarboline,"Blom, Judith F.; Brütsch, Tobias; Barbaras, Damien; Bethuel, Yann; Locher, Hans H.; Hubschwerlen, Christian; Gademann, Karl",Organic Letters,10.1021/ol052968b,https://doi.org/10.1021/ol052968b
"Isolation and identification of the antialgal compound, harmane (1-methyl-β-carboline), produced by the algicidal bacterium, Pseudomonas sp. K44-1","Kodani, Shinya; Imoto, Akiko; Mitsutani, Atsushi; Murakami, Masahiro",Journal of Applied Phycology,10.1023/A:1019533414018,https://doi.org/10.1023/A:1019533414018
Algicide capacity of <i>Paucibacter aquatile</i> DH15 on <i>Microcystis aeruginosa</i> by attachment and non-attachment effects,"Le, Ve Van; Ko, So-Ra; Kang, Mingyeong; Lee, Sang-Ah; Oh, Hee-Mock; Ahn, Chi-Yong",Environmental Pollution,10.1016/j.envpol.2022.119079,https://www.sciencedirect.com/science/article/pii/S0269749122002937
A bacterium that inhibits the growth of <i>Pfiesteria piscicida</i> and other dinoflagellates,"Hare, Clinton E.; Demir, Elif; Coyne, Kathryn J.; Craig Cary, S.; Kirchman, David L.; Hutchins, David A.",Harmful Algae,10.1016/j.hal.2004.03.001,https://www.sciencedirect.com/science/article/pii/S1568988304000253
Development of environmentally friendly biological algicide and biochemical analysis of inhibitory effect of diatom Skeletonema costatum,"Yang, Jie; Zhu, Qingzheng; Chai, Jinlong; Xu, Feng; Ding, Yunfei; Zhu, Qiang; Lu, Zhaoxin; Khoo, Kuan Shiong; Bian, Xiaoying; Wang, Shujun; Show, Pau Loke",Chinese Chemical Letters,10.1016/j.cclet.2021.09.053,https://www.sciencedirect.com/science/article/pii/S1001841721007658
Lysing bloom-causing alga Phaeocystis globosa with microbial algicide: An efficient process that decreases the toxicity of algal exudates,"Cai, Guanjing; Yang, Xujun; Lai, Qiliang; Yu, Xiaoqi; Zhang, Huajun; Li, Yi; Chen, Zhangran; Lei, Xueqian; Zheng, Wei; Xu, Hong; Zheng, Tianling",Scientific Reports,10.1038/srep20081,https://www.nature.com/articles/srep20081
"Design, synthesis and mechanism research of novel algicide based on bioactive fragments synthesis strategy","Huang, Shi; Zuo, Lingzi; Cheng, Guonian; He, Yanlin; Zhang, Liexiong; Han, Qiang; Feng, Lingling",Pesticide Biochemistry and Physiology,10.1016/j.pestbp.2023.105344,https://www.sciencedirect.com/science/article/pii/S0048357523000093
Investigation of the algicidal exudate produced by <i>Shewanella</i> sp. IRI-160 and its effect on dinoflagellates,"Pokrzywinski, Kaytee L.; Place, Allen R.; Warner, Mark E.; Coyne, Kathryn J.",Harmful Algae,10.1016/j.hal.2012.05.002,https://www.sciencedirect.com/science/article/pii/S1568988312000947
Algicide Constituents from Swinglea glutinosa,"Purcaro, Raffaella; Schrader, Kevin K.; Burandt, Charles; DellaGreca, Marina; Meepagala, Kumudini M.",Journal of Agricultural and Food Chemistry,10.1021/jf902561c,https://doi.org/10.1021/jf902561c
"Design, synthesis and algicides activities of thiourea derivatives as the novel scaffold aldolase inhibitors","Xiao, Shan; Wei, Lin; Hong, Zongqin; Rao, Li; Ren, Yanliang; Wan, Jian; Feng, Lingling",Bioorganic & Medicinal Chemistry,10.1016/j.bmc.2019.01.023,https://www.sciencedirect.com/science/article/pii/S0968089618310447
Identifying Algicides of Enterobacter hormaechei F2 for Control of the Harmful Alga Microcystis aeruginosa,"Zhang, Bin; Yang, Ying; Xie, Wenjia; He, Wei; Xie, Jia; Liu, Wei",International Journal of Environmental Research and Public Health,10.3390/ijerph19137556,https://www.mdpi.com/1660-4601/19/13/7556
Impacts of a bacterial algicide on metabolic pathways in <i>Chlorella vulgaris</i>,"Lu, Qianqian; Zhou, Xinzhu; Liu, Ruidan; Shi, Guojing; Zheng, Ningning; Gao, Guanghai; Wang, Yingying",Ecotoxicology and Environmental Safety,10.1016/j.ecoenv.2022.114451,https://www.sciencedirect.com/science/article/pii/S014765132201291X
"Effects of two algicidal substances, <i>ortho</i>-tyrosine and urocanic acid, on the growth and physiology of <i>Heterosoigma akashiwo</i>","Quan, Honglin; Zhang, Yuan; Yin, Pinghe; Zhao, Ling",Environmental Pollution,10.1016/j.envpol.2021.117004,https://www.sciencedirect.com/science/article/pii/S0269749121005868
Fast-growing algicidal <i>Streptomyces</i> sp. U3 and its potential in harmful algal bloom controls,"Yu, Xiaoqi; Cai, Guanjing; Wang, Hui; Hu, Zhong; Zheng, Wei; Lei, Xueqian; Zhu, Xiaoying; Chen, Yao; Chen, Qiuliang; Din, Hongyan; Xu, Hong; Tian, Yun; Fu, Lijun; Zheng, Tianling",Journal of Hazardous Materials,10.1016/j.jhazmat.2017.06.046,https://www.sciencedirect.com/science/article/pii/S0304389417304673
"Effects of mycosubtilin homolog algicides from a marine bacterium, Bacillus sp. SY-1, against the harmful algal bloom species Cochlodinium polykrikoides","Jeong, Seong-Yun; Son, Hong-Joo",Journal of Microbiology,10.1007/s12275-021-1086-8,https://doi.org/10.1007/s12275-021-1086-8
Root exudated algicide of Eichhornia crassipes enhances allelopathic effects of cyanobacteria Microcystis aeruginosa on green algae,"Pei, Ying; Liu, Lei; Hilt, Sabine; Xu, Runbing; Wang, Bolin; Li, Chengbin; Chang, Xuexiu",Hydrobiologia,10.1007/s10750-018-3696-7,https://doi.org/10.1007/s10750-018-3696-7
"Structure and Site of Action of an Algicide from a Cyanobacterium, <i>Oscillatoria late-virens</i>","Bagchi, S. N.",Journal of Plant Physiology,10.1016/S0176-1617(11)82072-9,https://www.sciencedirect.com/science/article/pii/S0176161711820729
Functional role of a novel algicidal compound produced by <i>Pseudoruegeria</i> sp. M32A2M on the harmful algae <i>Alexandrium catenella</i>,"Ko, So-Ra; Jeong, Yujin; Cho, Sang-Hyeok; Lee, Eunju; Jeong, Bo-Seong; Baek, Seung Ho; Oh, Byung-Ha; Ahn, Chi-Yong; Oh, Hee-Mock; Cho, Byung-Kwan; Cho, Suhyung",Chemosphere,10.1016/j.chemosphere.2022.134535,https://www.sciencedirect.com/science/article/pii/S0045653522010281
Effects of algicide on the growth of Microcystis flos-aquae and adsorption capacity to heavy metals,"Guo, P. Y.; Liu, Y.; Wen, X.; Chen, S. F.",International Journal of Environmental Science and Technology,10.1007/s13762-014-0633-9,https://doi.org/10.1007/s13762-014-0633-9
<i>Short communication:</i> Algicide activity of antimicrobial peptides compounds against <i>Prototheca bovis</i>,"Sperotto, V. R.; Denardi, L. B.; Weiblen, C.; de Jesus, F. P. K.; Dorneles, M. R.; Ianiski, L. B.; Santurio, J. M.",Journal of Dairy Science,10.3168/jds.2020-18171,https://www.sciencedirect.com/science/article/pii/S0022030221000059
Producing mechanism of an algicidal compound against red tide phytoplankton in a marine bacterium γ-proteobacterium,"Nakashima, Takuji; Miyazaki, Yousuke; Matsuyama, Yukihiko; Muraoka, Wataru; Yamaguchi, Kenichi; Oda, Tatsuya",Applied Microbiology and Biotechnology,10.1007/s00253-006-0507-2,https://doi.org/10.1007/s00253-006-0507-2
Isolation and Structure Determination of Algicidal Compounds from Ulva fasciata,"ALAMSJAH, Mochammad Amin; HIRAO, Shotaro; ISHIBASHI, Fumito; FUJITA, Yuji","Bioscience, Biotechnology, and Biochemistry",10.1271/bbb.69.2186,https://doi.org/10.1271/bbb.69.2186
Algicidal Activity of Stilbene Analogues,"Mizuno, Cassia S.; Schrader, Kevin K.; Rimando, Agnes M.",Journal of Agricultural and Food Chemistry,10.1021/jf801988p,https://doi.org/10.1021/jf801988p
Anticyanobacterial effect of l -lysine on Microcystis aeruginosa,"Tian, Lili; Chen, Meng; Ren, Chongyang; Wang, Yiying; Li, Li",RSC Advances,10.1039/C8RA00434J,https://pubs.rsc.org/en/content/articlelanding/2018/ra/c8ra00434j
Algicidal Activity of Streptomyces eurocidicus JXJ-0089 Metabolites and Their Effects on Microcystis Physiology,"Zhang, Bing-Huo; Ding, Zhang-Gui; Li, Han-Quan; Mou, Xiao-Zhen; Zhang, Yu-Qin; Yang, Jian-Yuan; Zhou, En-Min; Li, Wen-Jun",Applied and Environmental Microbiology,10.1128/AEM.01198-16,https://journals.asm.org/doi/full/10.1128/aem.01198-16
Novel rhodanine derivatives are selective algicides against Microcystis aeruginosa,"Jo, Du Ri; Kim, Young-Ok; Kim, Ran; Chang, Young-Cheol; Choi, DuBok; Cho, Hoon",Biotechnology and Bioprocess Engineering,10.1007/s12257-017-0343-5,https://doi.org/10.1007/s12257-017-0343-5
"Novel Algicides against Bloom-Forming Cyanobacteria from Allelochemicals: Design, Synthesis, Bioassay, and 3D-QSAR Study","Luo, Yin; Yang, Yushun; Hou, Wenguang; Fu, Jie",Biology,10.3390/biology10111145,https://www.mdpi.com/2079-7737/10/11/1145
A marine algicidal actinomycete and its active substance against the harmful algal bloom species Phaeocystis globosa,"Zheng, Xiaowei; Zhang, Bangzhou; Zhang, Jinlong; Huang, Liping; Lin, Jing; Li, Xinyi; Zhou, Yanyan; Wang, Hui; Yang, Xiaoru; Su, Jianqiang; Tian, Yun; Zheng, Tianling",Applied Microbiology and Biotechnology,10.1007/s00253-012-4617-8,https://doi.org/10.1007/s00253-012-4617-8
Evaluation of algaecide effectiveness of five different oxidants applied on harmful phytoplankton,"Moreno-Andrés, Javier; Romero-Martínez, Leonardo; Seoane, Sergio; Acevedo-Merino, Asunción; Moreno-Garrido, Ignacio; Nebot, Enrique",Journal of Hazardous Materials,10.1016/j.jhazmat.2023.131279,https://www.sciencedirect.com/science/article/pii/S0304389423005617
Development of a Potentially New Algaecide for Controlling Harmful Cyanobacteria Blooms Which is Ecologically Safe and Selective,"Ke, Mingjing; Feng, Lan; Huang, Shi; Lu, Tao; Yu, Zhitao; Yang, Yaohui; Hu, Hang; Peijnenburg, Willie J.G.M.; Feng, Lingling; Qian, Haifeng",Journal of Agricultural and Food Chemistry,10.1021/acs.jafc.2c02489,https://doi.org/10.1021/acs.jafc.2c02489
Management of Target Algae by Using Copper-Based Algaecides: Effects of Algal Cell Density and Sensitivity to Copper,"Tsai, Kuo-Pei","Water, Air, & Soil Pollution",10.1007/s11270-016-2926-8,https://doi.org/10.1007/s11270-016-2926-8
The effectiveness of five natural products against three species of harmful algae,"Li, Yun-Hui; Wu, Ting; Yang, Wei-Dong; Li, Hong-Ye; Liu, Jie-Sheng",Water and Environment Journal,10.1111/wej.12033,https://onlinelibrary.wiley.com/doi/abs/10.1111/wej.12033
Identification of algicidal monoterpenoids from four chemotypes of <i>Cinnamomum</i> camphora and their algicidal mechanisms on Microcystis aeruginosa,"Huang, Tianyu; Lai, Meng; Lin, Zhenwei; Luo, Ruiqi; Xiang, Xuezheng; Xu, Haozhe; Pan, Ning; Zuo, Zhaojiang",Environmental Research,10.1016/j.envres.2023.117714,https://www.sciencedirect.com/science/article/pii/S0013935123025185
"Roseochelin B, an Algaecidal Natural Product Synthesized by the Roseobacter Phaeobacter inhibens in Response to Algal Sinapic Acid","Wang, Rurun; Seyedsayamdost, Mohammad R.",Organic Letters,10.1021/acs.orglett.7b02424,https://doi.org/10.1021/acs.orglett.7b02424
Inhibitory effects of <i>Ipomoea cairica</i> extracts on the harmful algae <i>Phaeocystis globosa</i>Ipomoea cairica,"Liang, Dayong; Xiang, Hua; Xia, Jianrong",Marine Pollution Bulletin,10.1016/j.marpolbul.2022.114228,https://www.sciencedirect.com/science/article/pii/S0025326X22009109
Physiological and molecular mechanisms of the inhibitory effects of artemisinin on <i>Microcystis aeruginosa</i> and <i>Chlorella pyrenoidosa</i>,"Sang, Wenlu; Du, Cunhao; Ni, Lixiao; Li, Shiyin; Hamad, Amar Ali Adam; Xu, Chu; Shao, Chenxi",Journal of Hazardous Materials,10.1016/j.jhazmat.2024.134241,https://www.sciencedirect.com/science/article/pii/S0304389424008203
"Allelochemical induces growth and photosynthesis inhibition, oxidative damage in marine diatom <i>Phaeodactylum tricornutum</i>","Yang, Cuiyun; Zhou, Jun; Liu, Sujing; Fan, Ping; Wang, Wenhai; Xia, Chuanhai",Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2013.03.005,https://www.sciencedirect.com/science/article/pii/S0022098113001135
Discovery of two novel bioactive algicidal substances from <i>Brevibacillus</i> sp. via metabolomics profiling and back-validation,"Liu, Fen; Feng, Siran; Ali Nasser Mansoor Al-Haimi, Akram; Zhu, Shunni; Chen, Huanjun; Feng, Pingzhong; Wang, Zhongming; Qin, Lei",Journal of Hazardous Materials,10.1016/j.jhazmat.2024.133985,https://www.sciencedirect.com/science/article/pii/S0304389424005648
Differential allelopathic effects of mangrove plants <i>Kandelia obovata</i> and <i>Aegiceras corniculatum</i> on harmful algal species: Potential applications in algal bloom control,"Wong, Brian Yu-Keung; Chen, Yang-Hang; Cui, Kai-Hui; Zhou, Hai-Chao; Li, Feng-Lan; Tam, Nora Fung-Yee; Lee, Fred Wang-Fat; Xu, Steven Jing-Liang",Marine Pollution Bulletin,10.1016/j.marpolbul.2024.116874,https://www.sciencedirect.com/science/article/pii/S0025326X24008518
Algicidal Effects of Prodigiosin on the Harmful Algae Phaeocystis globosa,"Zhang, Huajun; Peng, Yun; Zhang, Su; Cai, Guanjing; Li, Yi; Yang, Xujun; Yang, Ke; Chen, Zhangran; Zhang, Jun; Wang, Hui; Zheng, Tianling; Zheng, Wei",Frontiers in Microbiology,10.3389/fmicb.2016.00602,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2016.00602/full
"Synthesis of Water-Soluble 9,10-Anthraquinone Analogues with Potent Cyanobactericidal Activity toward the Musty-Odor Cyanobacterium Oscillatoria perornata","Nanayakkara, N. P. Dhammika; Schrader, Kevin K.",Journal of Agricultural and Food Chemistry,10.1021/jf072836s,https://doi.org/10.1021/jf072836s
"9,10‐Anthraquinone Reduces the Photosynthetic Efficiency of Oscillatoria perornata and Modifies Cellular Inclusions","Schrader, Kevin K.; Dayan, Franck E.; Allen, Stacy N.; de Regt, Marjan Q.; Tucker, Craig S.; Paul, Jr., Rex N.",International Journal of Plant Sciences,10.1086/314255,https://www.journals.uchicago.edu/doi/full/10.1086/314255
"Novel Derivatives of 9,10-Anthraquinone Are Selective Algicides against the Musty-Odor Cyanobacterium Oscillatoria perornata","Schrader, Kevin K.; Nanayakkara, N. P. Dhammika; Tucker, Craig S.; Rimando, Agnes M.; Ganzera, Markus; Schaneberg, Brian T.",Applied and Environmental Microbiology,10.1128/AEM.69.9.5319-5327.2003,https://journals.asm.org/doi/full/10.1128/aem.69.9.5319-5327.2003
"A freshwater bacterial strain, Shewanella sp. Lzh-2, isolated from Lake Taihu and its two algicidal active substances, hexahydropyrrolo[1,2-a]pyrazine-1,4-dione and 2, 3-indolinedione","Li, Zhenghua; Lin, Shengqin; Liu, Xianglong; Tan, Jing; Pan, Jianliang; Yang, Hong",Applied Microbiology and Biotechnology,10.1007/s00253-014-5602-1,https://doi.org/10.1007/s00253-014-5602-1
Algicidal activity of Bacillus sp. Lzh-5 and its algicidal compounds against Microcystis aeruginosa,"Li, Zhenghua; Geng, Mengxin; Yang, Hong",Applied Microbiology and Biotechnology,10.1007/s00253-014-6043-6,https://doi.org/10.1007/s00253-014-6043-6
Synergistic algicidal effect and mechanism of two diketopiperazines produced by Chryseobacterium sp. strain GLY-1106 on the harmful bloom-forming Microcystis aeruginosa,"Guo, Xingliang; Liu, Xianglong; Pan, Jianliang; Yang, Hong",Scientific Reports,10.1038/srep14720,https://www.nature.com/articles/srep14720
A marine bacterium producing protein with algicidal activity against Alexandrium tamarense,"Wang, Binxiang; Yang, XiaoRu; Lu, Jinglin; Zhou, Yanyan; Su, Jianqiang; Tian, Yun; Zhang, Jun; Wang, Guizhong; Zheng, Tianling",Harmful Algae,10.1016/j.hal.2011.10.006,https://www.sciencedirect.com/science/article/pii/S156898831100134X
